Title,Theatrical Distributor,Maximum Theaters,Theatrical Engagements
Godzilla: King of the Monsters,Warner Bros.,4108,17244
Zombieland: Double Tap,Sony Pictures,3468,12445
Terminator: Dark Fate,Paramount Pictures,4086,13254
Gisaengchung (Parasite),Neon,2001,14373
Uncut Gems,A24,2686,10583
Doctor Sleep,Warner Bros.,3855,11008
Ready or Not,Fox Searchlight,2998,10016
Midsommar,A24,2707,8785
Bad Boys for Life,Sony Pictures,3775,27260
Sonic the Hedgehog,Paramount Pictures,4198,19300
Birds of Prey and the Fantabulous Emancipation of One Harley Quinn,Warner Bros.,4236,18348
The Invisible Man,Universal,3636,10856
Tenet,Warner Bros.,2930,28603
The Gentlemen,STX Entertainment,2675,12801
Promising Young Woman,Focus Features,1448,15765
The Hunt,Universal,3028,3028
Love and Monsters,Paramount Pictures,387,1321
Spider-Man: No Way Home,Sony Pictures,4336,63588
Shang-Chi and the Legend of the Ten Rings,Walt Disney,4300,28852
Venom: Let There Be Carnage,Sony Pictures,4225,33227
Black Widow,Walt Disney,4275,25585
F9,Universal,4203,26222
Eternals,Walt Disney,4090,24370
No Time to Die,United Artists,4407,27874
A Quiet Place Part II,Paramount Pictures,3744,28739
Ghostbusters: Afterlife,Sony Pictures,4315,29925
Free Guy,20th Century Studios,4165,32093
Godzilla vs. Kong,Warner Bros.,3084,28241
The Suicide Squad,Warner Bros.,4019,16971
Old,Universal,3379,17714
Mortal Kombat,Warner Bros.,3114,15736
Nobody,Universal,2567,21178
Wrath of Man,United Artists,3007,15938
Nomadland,Searchlight Pictures,1200,4125
The Father,Sony Pictures Classics,933,5124
Top Gun: Maverick,Paramount Pictures,4751,69377
Black Panther: Wakanda Forever,Walt Disney,4396,36295
Doctor Strange in the Multiverse of Madness,Walt Disney,4534,29807
Jurassic World: Dominion,Universal,4697,33015
The Batman,Warner Bros.,4417,30031
Black Adam,Warner Bros.,4402,28549
Uncharted,Sony Pictures,4275,33269
Nope,Universal,3807,21484
Smile,Paramount Pictures,3659,25562
The Lost City,Paramount Pictures,4283,28480
Bullet Train,Sony Pictures,4357,30143
Scream,Paramount Pictures,3666,22305
Everything Everywhere All at Once,A24,2220,28961
Morbius,Sony Pictures,4268,18394
Barbarian,20th Century Studios,2890,15745
The Menu,Searchlight Pictures,3228,16939
The Unbearable Weight of Massive Talent,Lionsgate,3036,9824
The Whale,A24,1721,10076
Glass Onion,Netflix,100,696
Brahmastra Part One: Shiva,Fox Star India,810,2300
Triangle of Sadness,Neon,610,3722
About Time,Universal,1280,4539
Snowpiercer,Weinstein Co.,365,1
It Follows,Weinstein Co.,1,655
The Babadook,Umbrella,80,482
The Interview,Sony Pictures,581,1
Whiplash,Sony Pictures,567,5
Room,A24,862,6148
The Lobster,A24,563,2
Busanhaeng (Train to Busan),Next Entertainment World,36,286
Kimi no na wa (Your Name),Toho,292,978
Nocturnal Animals,Focus Features,1262,3
Mother!,Paramount Pictures,2368,7322
The Killing of a Sacred Deer,A24,238,723
Bird Box,Netflix,0,0
Upgrade,Universal,1458,3
6 Underground,Netflix,0,0
El Camino: A Breaking Bad Movie,Netflix,0,0
El Hoyo (The Platform),Netflix,0,0
Marriage Story,Netflix,0,0
365 dni,Next Film,0,0
Borat Subsequent Moviefilm: Delivery of Prodigious Bribe to American Regime for Make Benefit Once Glorious Nation of Kazakhstan,Amazon Studios,0,0
Dil Bechara,Walt Disney,0,0
Druk (Another Round),Samuel Goldwyn Films,7,14
Eurovision Song Contest: The Story of Fire Saga,Netflix,0,0
Extraction,Netflix,0,0
Greenland,STX Entertainment,50,696
I Care a Lot,Netflix,0,0
Palm Springs,Neon,0,0
Project Power,Netflix,0,0
Sadak 2,Walt Disney,0,0
Soorarai Pottru,Amazon Studios,0,0
Soul,Walt Disney,0,0
The Old Guard,Netflix,0,0
Army of the Dead,Netflix,0,0
CODA,Apple TV,0,0
Don't Look Up,Netflix,0,0
Radhe,Zee,0,0
Red Notice,Netflix,0,0
The Guilty,Netflix,0,0
The Mitchells vs. the Machines,Netflix,0,0
The Tomorrow War,Amazon Studios,0,0
The Unforgivable,Netflix,0,0
Zack Snyder's Justice League,Warner Bros.,0,0
Hustle,Netflix,0,0
M3GAN,Universal,3628,22218
The Adam Project,Netflix,0,0
The Gray Man,Netflix,0,0
