Title,Superhero ,Marvel or DC
Godzilla vs. Kong,FALSE,
Mortal Kombat,FALSE,
No Time to Die,FALSE,
Nobody,FALSE,
Old,FALSE,
Radhe,FALSE,
Red Notice,FALSE,
Shang-Chi and the Legend of the Ten Rings,TRUE,Marvel
Spider-Man: No Way Home,TRUE,Marvel
The Guilty,FALSE,
The Mitchells vs. the Machines,FALSE,
The Suicide Squad,TRUE,DC
The Tomorrow War,FALSE,
The Unforgivable,FALSE,
Venom: Let There Be Carnage,TRUE,DC
Wrath of Man,FALSE,
Zack Snyder's Justice League,TRUE,DC
Barbarian,FALSE,
Black Adam,TRUE,DC
Black Panther: Wakanda Forever,TRUE,Marvel
Brahmastra Part One: Shiva,FALSE,
Bullet Train,FALSE,
Doctor Strange in the Multiverse of Madness,TRUE,Marvel
Everything Everywhere All at Once,FALSE,
Glass Onion,FALSE,
Hustle,FALSE,
Jurassic World: Dominion,FALSE,
M3GAN,FALSE,
Morbius,FALSE,
Nope,FALSE,
Scream,FALSE,
Smile,FALSE,
The Adam Project,FALSE,
The Batman,TRUE,DC
The Gray Man,FALSE,
The Lost City,FALSE,
The Menu,FALSE,
The Unbearable Weight of Massive Talent,FALSE,
The Whale,FALSE,
Top Gun: Maverick,FALSE,
Triangle of Sadness,FALSE,
Uncharted,FALSE,
