Title,First Director Name,First Director Gender,First Director Age When the Film Was Released,Second Director Name,Second Director Gender,Second Director Age When the Film Was Released,First Writer Name,First Writer Gender,First Writer Age When the Film Was Released,Second Writer Name,Second Writer Gender,Second Writer Age When the Film Was Released,Third Writer Name,Third Writer Gender,Third Writer Age When the Film Was Released,Fourth Writer Name,Fourth Writer Gender,Fourth Writer Age When the Film Was Released,Fifth Writer Name,Fifth Writer Gender,FIfth Writer Age When the Film Was Released,Sixth Writer Name,Sixth Writer Gender,Sixth Writer Age When Film Was Released
Free Guy,Shawn Levy,Male,53,,,,Matt Lieberman,Male,?,Zak Penn,Male,?,,,,,,,,,,,,
Ghostbusters: Afterlife,Jason Reitman,Male,44,,,,Gil Kenan,Male,45,Jason Reitman,Male,44,,,,,,,,,,,,
Godzilla vs. Kong,Adam Wingard,Male,38,,,,Eric Pearson,Male,?,Max Borenstein,Male,?,,,,,,,,,,,,
Mortal Kombat,Simon McQuoid,Male,37,,,,Greg Russo,Male,?,Dave Callaham,Male,?,,,,,,,,,,,,
No Time to Die,Cary Joji Fukunaga,Male,44,,,,Neal Purvis,Male,?,Robert Wade,Male,?,Cary Joji Fukunaga,Male,44,Phoebe Waller-Bridge,Female,36,,,,,,
Nobody,Ilya Naishuller,Male,37,,,,Derek Kolstad,Male,47,,,,,,,,,,,,,,,
Old,M. Night Shyamalan,Male,50,,,,M. Night Shyamalan,Male,50,,,,,,,,,,,,,,,
Radhe,Prabhu Deva,Male,48,,,,Vijay Maurya,Male,?,A.C. Mugil,Male,?,Prabhu Deva,Male,?,,,,,,,,,
Red Notice,Rawson Marshall Thurber,Male,46,,,,Rawson Marshall Thurber,Male,46,,,,,,,,,,,,,,,
Shang-Chi and the Legend of the Ten Rings,Destin Daniel Cretton,Male,42,,,,Dave Callaham,Male,?,Destin Daniel Cretton,Male,42,Andrew Lanham,Male,?,,,,,,,,,
Spider-Man: No Way Home,Jon Watts,Male,40,,,,Chris McKenna,Male,?,Erik Sommers,Male,?,,,,,,,,,,,,
The Guilty,Antoine Fuqua,Male,55,,,,Nic Pizzolatto,Male,45,,,,,,,,,,,,,,,
The Mitchells vs. the Machines,Mike Rianda,Male,37,Jeff Rowe,Male,42,Mike Rianda,Male,37,Jeff Rowe,Male,42,,,,,,,,,,,,
The Suicide Squad,James Gunn,Male,54,,,,James Gunn,Male,54,,,,,,,,,,,,,,,
The Tomorrow War,Chris McKay,Male,47,,,,Zach Dean,Male,?,,,,,,,,,,,,,,,
The Unforgivable,Nora Fingscheidt,Female,38,,,,Nora Fingscheidt,Female,38,Sally Wainwright,Female,58,,,,,,,,,,,,
Venom: Let There Be Carnage,Andy Serkis,Male,57,,,,Kelly Marcel,Female,47,,,,,,,,,,,,,,,
Wrath of Man,Guy Ritchie,Male,52,,,,Guy Ritchie,Male,52,Marn Davies,Male,?,Ivan Atkinson,Male,?,,,,,,,,,
Zack Snyder's Justice League,Zack Snyder,Male,55,,,,Chris Terrio,Male,44,Zack Snyder,Male,55,Will Beall,Male,?,,,,,,,,,
Barbarian,Zach Cregger,Male,41,,,,Zach Cregger,Male,41,,,,,,,,,,,,,,,
Black Adam,Jaume Collet-Serra,Male,48,,,,Adam Sztykiel,Male,?,Rory Haines,Male,?,Sohrab Noshirvani,Male,?,,,,,,,,,
Black Panther: Wakanda Forever,Ryan Coogler,Male,36,,,,Ryan Coogler,Male,36,Joe Robert Cole,Male,42,,,,,,,,,,,,
Brahmastra Part One: Shiva,Ayan Mukerji,Male,39,,,,Ayan Mukerji,Male,39,,,,,,,,,,,,,,,
Bullet Train,David Leitch,Male,51,,,,Zak Olkewicz,Male,?,Ollie Masters,?,,,,,,,,,,,,,
Doctor Strange in the Multiverse of Madness,Sam Raimi,Male,62,,,,Michael Waldron,Male,35,Jade Bartlett,Female,?,Steve Ditko,Male,94,,,,,,,,,
Everything Everywhere All at Once,Daniel Kwan,Male,34,Daniel Scheinert,Male,34,Daniel Kwan,Male,,Daniel Scheinert,Male,,,,,,,,,,,,,
Glass Onion,Rian Johnson,Male,48,,,,Andrew Dominik,Male,54,,,,,,,,,,,,,,,
Hustle,Jeremiah Zagar,Male,40,,,,Taylor Materne,Male,?,Will Fetters,Male,?,,,,,,,,,,,,
Jurassic World: Dominion,Colin Trevorrow,Male,45,,,,Colin Trevorrow,Male,45,Emily Carmichael,Female,40,Derek Connolly,Male,45,,,,,,,,,
M3GAN,Gerard Johnstone,Male,46,,,,Akela Cooper,Female,?,James Wan,Male,45,,,,,,,,,,,,
Morbius,Daniel Espinosa,Male,45,,,,Matt Shazama,Male,?,Burk Sharpless,Male,?,,,,,,,,,,,,
Nope,Jordan Peele,Male,43,,,,Jordan Peele,Male,42,,,,,,,,,,,,,,,
Scream,Matt Betinelli-Olpin,Male,43,Tyler Gilett,Male,39,James Vanderbilt,Male,46,Guy Busick,Male,?,,,,,,,,,,,,
Smile,Parker Finn,Male,35,,,,Parker Finn,Male,35,,,,,,,,,,,,,,,
The Adam Project,Shawn Levy,Male,53,,,,Jonathan Tropper,Male,41,,,,,,,,,,,,,,,
The Batman,Matt Reeves,Male,55,,,,Matt Reeves,Male,55,Peter Craig,Male,50,Mattson Tomlin,Male,34,,,,,,,,,
The Gray Man,Anthony Russo,Male,52,Joe Russo,Male,50,Anthony Russo,Male,52,Joe Russo,Male,50,,,,,,,,,,,,
The Lost City,Adam McKay,Male,54,,,,Oren Uziel,Male,?,Dana Fox,Female,45,Adam Nee,Male,40,Aaron Nee,Male,?,,,,,,
The Menu,Mark Mylod,Male,57,,,,Seith Reiss,Male,?,Will Racy,Male,?,,,,,,,,,,,,
The Unbearable Weight of Massive Talent,Tom Gormican,Male,46,,,,Tom Gormican,Male,46,,,,,,,,,,,,,,,
The Whale,Darren Aronofsky,Male,53,,,,Samuel D. Hunter,Male,41,,,,,,,,,,,,,,,
Top Gun: Maverick,Joseph Kosinski,Male,47,,,,Ehren Kruger,Male,49,Eric Warren Singer,Male,26,Christopher McQuarrie,Male,53,,,,,,,,,
Triangle of Sadness,Ruben Östlund,Male,48,,,,Ruben Östlund,Male,48,,,,,,,,,,,,,,,
Uncharted,Ruben Fleischer,Male,47,,,,Rafe Lee Judkins,Male,39,Art Marcum,Male,?,Matt Holloway,Male,?,,,,,,,,,
Fantastic Four,Josh Trank,Male,31,,,,Jeremy Slater,Male,?,Simon Kinberg,Male,42,Josh Trank,Male,31,,,,,,,,,
Black Panther,Ryan Coogler,Male,27,,,,Ryan Coogler,Male,37,Joe Robert Cole,Male,,Stan Lee,Male,,Jack Kirby,Male,,,,,,,
