Title,First Director Name,First Director Gender,First Director Age When the Film Was Released,Second Director Name,Second Director Gender,Second Director Age When the Film Was Released,First Writer Name,First Writer Gender,First Writer Age When the Film Was Released,Second Writer Name,Second Writer Gender,Second Writer Age When the Film Was Released,Third Writer Name,Third Writer Gender,Third Writer Age When the Film Was Released,Fourth Writer Name,Fourth Writer Gender,Fourth Writer Age When the Film Was Released,Fifth Writer Name,Fifth Writer Gender,FIfth Writer Age When the Film Was Released,Sixth Writer Name,Sixth Writer Gender,Sixth Writer Age When Film Was Released
Mission: Impossible - Rogue Nation,Christopher McQuarrie,Male,46,,,,Christopher McQuarrie,Male,46,Drew Pearce,Male,?,,,,,,,,,,,,
Pitch Perfect 2,Elizabeth Banks,Female,41,,,,Kay Cannon,Female,40,,,,,,,,,,,,,,,
Room,Lenny Abrahamson,Male,48,,,,Emma Donoghue,Female,45,,,,,,,,,,,,,,,
San Andreas,Brad Peyton,Male,37,,,,Carlton Cuse,Male,56,Andre Fabrizio,Male,?,Jeremy Passmore,Male,?,,,,,,,,,
Sicario,Denis Villaneuve,Male,47,,,,Taylor Sheridan,Male,45,,,,,,,,,,,,,,,
Southpaw,Antoine Fuqua,Male,49,,,,Kurt Sutter,Male,55,,,,,,,,,,,,,,,
Spectre,Sam Mendes,Male,50,,,,John Logan,Male,54,Neal Purvis,Male,54,Robert Wade,Male,54,Jez Butterworth,Male,46,,,,,,
Spy,Paul Feig,Male,52,,,,Paul Feig,Male,52,,,,,,,,,,,,,,,
Ted 2,Seth MacFarlane,Male,41,,,,Seth MacFarlane,Male,41,Alec Sulkin,Male,?,Wellesley Wild,Male,?,,,,,,,,,
The Big Short,Adam McKay,Male,47,,,,Adam McKay,Male,47,Charles Randolph,Male,?,,,,,,,,,,,,
The Gift,Joel Edgerton,Male,41,,,,Joel Edgerton,Male,41,,,,,,,,,,,,,,,
The Intern,Nancy Meyers,Female,65,,,,Nancy Meyers,Female,65,,,,,,,,,,,,,,,
The Lobster,Yorgos Lanthimos,Male,42,,,,Yorgos Lanthimos,Male,42,Efthimis Filippou,,,,,,,,,,,,,,
