Title,Theatrical Distributor,Category
Black Widow,Walt Disney,Major (Big 5)
Eternals,Walt Disney,Major (Big 5)
Black Panther: Wakanda Forever,Walt Disney,Major (Big 5)
Doctor Strange in the Multiverse of Madness,Walt Disney,Major (Big 5)
Dil Bechara,Walt Disney,Major (Big 5)
Sadak 2,Walt Disney,Major (Big 5)
Soul,Walt Disney,Major (Big 5)
Man of Steel,Warner Bros.,Major (Big 5)
We're the Millers,Warner Bros.,Major (Big 5)
The Hangover Part III,Warner Bros.,Major (Big 5)
Pacific Rim,Warner Bros.,Major (Big 5)
Prisoners,Warner Bros.,Major (Big 5)
Godzilla,Warner Bros.,Major (Big 5)
Edge of Tomorrow,Warner Bros.,Major (Big 5)
Her,Warner Bros.,Major (Big 5)
San Andreas,Warner Bros.,Major (Big 5)
Mad Max: Fury Road,Warner Bros.,Major (Big 5)
Creed,Warner Bros.,Major (Big 5)
Get Hard,Warner Bros.,Major (Big 5)
The Intern,Warner Bros.,Major (Big 5)
Focus,Warner Bros.,Major (Big 5)
Batman v Superman: Dawn of Justice,Warner Bros.,Major (Big 5)
Suicide Squad,Warner Bros.,Major (Big 5)
Sully,Warner Bros.,Major (Big 5)
The Accountant,Warner Bros.,Major (Big 5)
Me Before You,Warner Bros.,Major (Big 5)
Justice League,Warner Bros.,Major (Big 5)
Blade Runner 2049,Warner Bros.,Major (Big 5)
Aquaman,Warner Bros.,Major (Big 5)
A Star Is Born,Warner Bros.,Major (Big 5)
Crazy Rich Asians,Warner Bros.,Major (Big 5)
The Meg,Warner Bros.,Major (Big 5)
Ocean's 8,Warner Bros.,Major (Big 5)
Ready Player One,Warner Bros.,Major (Big 5)
Rampage,Warner Bros.,Major (Big 5)
Game Night,Warner Bros.,Major (Big 5)
Tomb Raider,Warner Bros.,Major (Big 5),
It Chapter Two,Warner Bros.,Major (Big 5)
Pokemon: Detective Pikachu,Warner Bros.,Major (Big 5)
Shazam!,Warner Bros.,Major (Big 5)
Godzilla: King of the Monsters,Warner Bros.,Major (Big 5)
Doctor Sleep,Warner Bros.,Major (Big 5)
Birds of Prey and the Fantabulous Emancipation of One Harley Quinn,Warner Bros.,Major (Big 5)
Tenet,Warner Bros.,Major (Big 5)
Godzilla vs. Kong,Warner Bros.,Major (Big 5)
The Suicide Squad,Warner Bros.,Major (Big 5)
Mortal Kombat,Warner Bros.,Major (Big 5)
The Batman,Warner Bros.,Major (Big 5)
Black Adam,Warner Bros.,Major (Big 5)
Zack Snyder's Justice League,Warner Bros.,Major (Big 5)
Boyhood,IFC Films,Mini-major,
Now You See Me,Lionsgate,Mini-major
Warm Bodies,Lionsgate,Mini-major
Escape Plan,Lionsgate,Mini-major
John Wick,Lionsgate,Mini-major
Sicario,Lionsgate,Mini-major
La La Land,Lionsgate,Mini-major
Now You See Me 2,Lionsgate,Mini-major
Hell or High Water,Lionsgate,Mini-major
Wonder,Lionsgate,Mini-major
John Wick: Chapter 2,Lionsgate,Mini-major
The Hitman's Bodyguard,Lionsgate,Mini-major
The Big Sick,Lionsgate,Mini-major
John Wick: Chapter 3 - Parabellum,Lionsgate,Mini-major
Knives Out,Lionsgate,Mini-major
The Unbearable Weight of Massive Talent,Lionsgate,Mini-major
No Time to Die,United Artists,Mini-major
Wrath of Man,United Artists,Mini-major
